Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GTEX-U3ZH-1126-SM-4DXUG_esophagus_male_30-39_years	1/592	0.451862107900328380249987958450219593942165374755859375	0.95565512433056820640331352478824555873870849609375	0.412394588500287984089709425461478531360626220703125	0.90740010531958592565615617786534130573272705078125	-0.9272489613356147	0.7365863763524559	RUSC1
GTEX-OHPK-0426-SM-3MJH3_blood vessel_female_50-59_years	1/598	0.45524296909037520464380577323026955127716064453125	0.95565512433056820640331352478824555873870849609375	0.415597474622721063663988161351880989968776702880859375	0.90740010531958592565615617786534130573272705078125	-0.9315081793491256	0.7330261467706018	RAB11FIP5
GTEX-XLM4-0426-SM-4AT54_blood vessel_male_60-69_years	1/593	0.452426965573781536544828441037680022418498992919921875	0.95565512433056820640331352478824555873870849609375	0.4129295476510066453812441977788694202899932861328125	0.90740010531958592565615617786534130573272705078125	-0.9214329628832018	0.730815140762095	RAB3GAP1
GTEX-NFK9-1326-SM-3LK5I_blood vessel_male_40-49_years	1/601	0.456925961607435981992608731161453761160373687744140625	0.95565512433056820640331352478824555873870849609375	0.4171927490709403940627453266642987728118896484375	0.90740010531958592565615617786534130573272705078125	-0.9316899502172377	0.7297311633846655	RAB11FIP5
GTEX-Q2AH-2026-SM-2S1PX_blood vessel_male_40-49_years	1/611	0.462500334138479962664547429085359908640384674072265625	0.95565512433056820640331352478824555873870849609375	0.422480780608008366083794271617080084979534149169921875	0.90740010531958592565615617786534130573272705078125	-0.9458572879858496	0.7293581212159036	RAB3GAP1
GTEX-SIU7-1326-SM-4BRWW_esophagus_male_50-59_years	1/607	0.460277139670407786642414293964975513517856597900390625	0.95565512433056820640331352478824555873870849609375	0.4203710102008724192046429379843175411224365234375	0.90740010531958592565615617786534130573272705078125	-0.939250139946171	0.728789067486996	CADPS2
GTEX-O5YT-0126-SM-48TBW_skin_male_20-29_years	2/1488	0.444540995319779252969993876831722445785999298095703125	0.95565512433056820640331352478824555873870849609375	0.382838728984864651305741745090926997363567352294921875	0.90740010531958592565615617786534130573272705078125	-0.8963832979780579	0.7267095929583679	ELOVL4;RARS
GTEX-T6MO-1526-SM-4DM57_uterus_female_40-49_years	1/595	0.45355502242388856526389417922473512589931488037109375	0.95565512433056820640331352478824555873870849609375	0.4139980910905014521716793751693330705165863037109375	0.90740010531958592565615617786534130573272705078125	-0.9185881000758872	0.7262712906227382	CADPS2
GTEX-X4XX-1126-SM-3NMBY_heart_male_60-69_years	1/614	0.46416201783813892944863255252130329608917236328125	0.95565512433056820640331352478824555873870849609375	0.424058363010502981094163033048971556127071380615234375	0.90740010531958592565615617786534130573272705078125	-0.942077707840736	0.7230650003185491	GABARAPL1
GTEX-WOFL-0126-SM-3MJG2_skin_male_60-69_years	2/1530	0.459215852718910910734706476432620547711849212646484375	0.95565512433056820640331352478824555873870849609375	0.3965031806941425873702655735542066395282745361328125	0.90740010531958592565615617786534130573272705078125	-0.9246613925666425	0.7196037775674478	ELOVL4;ABCA5
